title,link,authors,source,par_num,paragraph
Why are we not building one platform to rule them all?,https://medium.com/sentinel-hub/why-are-we-not-building-one-platform-to-rule-them-all-5cb8697057c5?source=tag_archive---------0-----------------------,https://medium.com/@grega.milcinski,Medium,8,"By releasing our products under an open source license we aim to gain in innovation, transparency, scalability, flexibility, and security through collaboration with the community, including existing EO groups dealing with similar problems as well as newcomers to the EO that will bring their fresh and unique views from their domains of expertise. We can see this in real-life, for example Pierre Markuse’s wild-fire script, which is now used by many people in the community and seen on several news platforms."
Why are we not building one platform to rule them all?,https://medium.com/sentinel-hub/why-are-we-not-building-one-platform-to-rule-them-all-5cb8697057c5?source=tag_archive---------0-----------------------,https://medium.com/@grega.milcinski,Medium,9,Or Harel Dan’s contribution related to forest monitoring:
Why are we not building one platform to rule them all?,https://medium.com/sentinel-hub/why-are-we-not-building-one-platform-to-rule-them-all-5cb8697057c5?source=tag_archive---------0-----------------------,https://medium.com/@grega.milcinski,Medium,10,"We believe we will learn and benefit from the received feedback and ideas for further development, ideally also from code contribution, making it possible for us to provide a better service for everyone. We have decided to use the MIT license for eo-learn libraries to make the uptake as easy as possible, even for a commercial use. We hope that our example will lead to similar steps from other teams. The activity on sentinelhub-py package, which exposes Sentinel Hub services to Python users and was open-sourced six months ago, proves the case. Developers and community in general can advance on top of our new technology for bringing benefits to mankind. We are perfectly fine with it."
Why are we not building one platform to rule them all?,https://medium.com/sentinel-hub/why-are-we-not-building-one-platform-to-rule-them-all-5cb8697057c5?source=tag_archive---------0-----------------------,https://medium.com/@grega.milcinski,Medium,11,"One way or another, we all benefit."
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,1,"One of the technologies applied in remote sensing projects and research is the LiDAR technology since the 1960s. Nevertheless, many people are still not aware of its existence and its many useful applications and practices."
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,2,So.
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,3,"LiDAR stands for light detection and ranging. It is a remote sensing method, which is completely different from the well-known satellite or airborne multi or hyper-spectral imagery."
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,4,"What it actually does, is to measure distances from the Earth’s surface. More specifically, light in the form of a pulsed laser starts from the LiDAR device, falls on the surface on which information is to be collected and then returns back to the sensor. In such way, ranges - or in other words, variable distances of each pulse from the surface’s point it bounced - are measured, giving as an output a point cloud which can be further processed."
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,5,www.geo.university
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,6,"OK until now, but why should I use it?"
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,7,"Because these light pulses - combined with other data recorded by the airborne system, such as a GPS and the exact route of the aircraft on which the LiDAR device is placed - generate precise, 3D information about the shape of the Earth and its surface characteristics!"
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,8,And what about the applications used in?
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,9,"Geodesy, forestry, archaeology, geomatics and geology are some of the main fields in which LiDAR technology can play an essential role!"
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,10,"According to Wanger et al, LiDAR is a growing technology used in environmental research to collect information about the Earth, such as vegetation and tree species. Earth observation images, acquired from satellites, have been used for years in earth monitoring."
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,11,"In respect to forest monitoring, satellite imagery does not contain information about tree height, diameter at breast height and stem density amongst many other important parameters for monitoring forest health at tree level. In the last couple of decades, LiDAR data acquired from airborne platforms has been increasingly used for forest monitoring, urban planning, archaeology, biodiversity and automated driving. Using this technology, the commercial forestry sector managed a 40% reduction of the expensive fieldwork that cost them millions of dollars annually!"
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,12,"If you also want to learn about LiDAR and its applications, then GEO University provides a course dedicated on this technology!"
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,13,"‘Overview of LiDAR; system variations, data interpretation & applications’ is a video course providing a detailed and broad information about how LiDAR systems works, their usability and interpretation!"
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,14,"And all these, by simply starting from scratch!"
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,15,www.geo.university
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,16,"Check out the curriculum for the detailed contents of this video course.Gain an in-depth understanding of LiDAR concepts, systems and algorithms!"
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,17,Need more information?
LiDAR technology: what is it?,https://medium.com/geo-university-learning-content/lidar-technology-applications-and-specifications-11a091ca3370?source=tag_archive---------0-----------------------,https://medium.com/@anastasiasarelli,Medium,18,E-mail here: info@geo.university
Naaut is coming to IAC2018,https://medium.com/naaut/naaut-is-coming-to-iac2018-192e9f98f22e?source=tag_archive---------0-----------------------,https://medium.com/@nushkino,Medium,1,"Naaut is returning to Bremen, Germany for International Astronautical Congress 2018. The main theme couldn’t be more perfect, Involving Everyone. It is a pivotal time for the Space sector as public interest is mounting, technology is advancing at a faster pace than ever before and the enterprising spirit of a new generation of aspirational entrepreneurs is starting to build critical mass."
Naaut is coming to IAC2018,https://medium.com/naaut/naaut-is-coming-to-iac2018-192e9f98f22e?source=tag_archive---------0-----------------------,https://medium.com/@nushkino,Medium,2,"As we converge in Bremen next week Naaut is keen to meet entrepreneurs and organisations who are applying or considering the use of Artificial Intelligence, Machine Learning, Blockchain, Nanotechnology, Quantum Computing technologies etc to drop me a line."
Naaut is coming to IAC2018,https://medium.com/naaut/naaut-is-coming-to-iac2018-192e9f98f22e?source=tag_archive---------0-----------------------,https://medium.com/@nushkino,Medium,3,"Naaut can help to connect the dots to implement or design Innovation Strategy solutions that apply technology to deliver impact. You may be a startup, scale up or even a prime. Naaut can help your organisation to understand the ‘fuzzy space’ where the magic of innovation can bring about the next leap for your strategic goals."
Naaut is coming to IAC2018,https://medium.com/naaut/naaut-is-coming-to-iac2018-192e9f98f22e?source=tag_archive---------0-----------------------,https://medium.com/@nushkino,Medium,4,Are you interested in how to apply Artificial Intelligence for Earth Observation or Blockchain for Future Supply-chain or how we bring leading talent from across the globe to deliver projects with a scrappy startup mentality? Then check out these short clips below and let me know if Naaut can help you.
Naaut is coming to IAC2018,https://medium.com/naaut/naaut-is-coming-to-iac2018-192e9f98f22e?source=tag_archive---------0-----------------------,https://medium.com/@nushkino,Medium,5,"To any of my Space family congregating in Bremen, ping me to let me know you will be in town as I am looking to coordinate a meetup to get us all together."
Naaut is coming to IAC2018,https://medium.com/naaut/naaut-is-coming-to-iac2018-192e9f98f22e?source=tag_archive---------0-----------------------,https://medium.com/@nushkino,Medium,6,#IAC2018 #Bremen #InvolvingEveryone #machinelearning#artificialintelligence #quantumcomputing #space #newspace#asteroidmining #strategy #innovation #deeplearning
How to find satellite images with a semantic concept?,https://medium.com/geo-university-learning-content/how-to-find-satellite-images-with-a-semantic-concept-e2837ba9f71c?source=tag_archive---------0-----------------------,https://medium.com/@dimsyk,Medium,1,"Technological advances in remote sensing increased the availability of satellite images with different spatiotemporal and spectral characteristics. The problem of obtaining data has been transformed into the difficulty of retrieving the most appropriate data for each user’s needs. The biggest challenge is to bridge the gap between the low-level semantics (detectable, quantifiable features) of the images and the semantic information in them with the view to designing intelligent geo-search systems."
How to find satellite images with a semantic concept?,https://medium.com/geo-university-learning-content/how-to-find-satellite-images-with-a-semantic-concept-e2837ba9f71c?source=tag_archive---------0-----------------------,https://medium.com/@dimsyk,Medium,2,"This bottleneck between low-level semantics of images and high-level semantics of user queries has already been acknowledged in the literature. Under the general term of content-based image retrieval a wealth of approaches has been introduced. We point the reader to Liu et al., (2007), Rani and Reddy, (2012) and Zhang et al., (2012) for a review and comparison of approaches via the prism of computer science."
How to find satellite images with a semantic concept?,https://medium.com/geo-university-learning-content/how-to-find-satellite-images-with-a-semantic-concept-e2837ba9f71c?source=tag_archive---------0-----------------------,https://medium.com/@dimsyk,Medium,3,Content-based remote sensing image retrieval techniques have been introduced for bridging the gap between low-level semantics of images and high-level semantics of user queries.
How to find satellite images with a semantic concept?,https://medium.com/geo-university-learning-content/how-to-find-satellite-images-with-a-semantic-concept-e2837ba9f71c?source=tag_archive---------0-----------------------,https://medium.com/@dimsyk,Medium,4,"The developed Intelligent Geo-Search System (IGSS) is a knowledge aware, spectral oriented retrieval methodology. Knowledge about geographic objects and processes is formalized as an ontology. A reference spectral library is built consisting of spectral signatures. Tags are assigned to images using an endmember extraction algorithm and a labeling algorithm. Indexes such as (NDVI, NDMI, NBRI) and additional statistics for each index are stored along with the tags. In that way, queries can be formulated that enable both geographic entities detection (e.g. burned areas and forest type identification) and phenomena quantification (e.g. increased risk for forest fire), enabling more robust domain oriented question answering."
How to find satellite images with a semantic concept?,https://medium.com/geo-university-learning-content/how-to-find-satellite-images-with-a-semantic-concept-e2837ba9f71c?source=tag_archive---------0-----------------------,https://medium.com/@dimsyk,Medium,5,"One important component of the system is its knowledge base. This, refers to the domain concepts about geographic objects that are present in remote sensing images. This knowledge is formalized in the IGSS ontology."
How to find satellite images with a semantic concept?,https://medium.com/geo-university-learning-content/how-to-find-satellite-images-with-a-semantic-concept-e2837ba9f71c?source=tag_archive---------0-----------------------,https://medium.com/@dimsyk,Medium,6,www.geo.university
How to find satellite images with a semantic concept?,https://medium.com/geo-university-learning-content/how-to-find-satellite-images-with-a-semantic-concept-e2837ba9f71c?source=tag_archive---------0-----------------------,https://medium.com/@dimsyk,Medium,7,"The metadata assignment phase refers to the process in which meaningful information is attached to the low-level semantics of an RSI. Each RSI, that is contained in the IGSS, is enriched with information bridging the gap between ‘what is in an image’ (Camara et al., 2001) and high-level concepts in user queries. The information that is attached to each RSI includes the following: labels statistics per index for the whole image statistics per index for each label weights The “labels” correspond to concepts such as vegetation, water, soil, etc for each matched extracted endmember with the reference SL. The “statistics per index for the whole image” include the minimum, maximum, mean and standard deviation values from the NDVI, NDMI and NBRI for the whole image while the “statistics per index for each label” refer to the above mentioned values restricted to each label. The “weights” refer to the ratio between the number of pixels for each label divided by the total number of pixels of the image. For each label one “weight” is calculated."
How to find satellite images with a semantic concept?,https://medium.com/geo-university-learning-content/how-to-find-satellite-images-with-a-semantic-concept-e2837ba9f71c?source=tag_archive---------0-----------------------,https://medium.com/@dimsyk,Medium,8,www.geo.university
How to find satellite images with a semantic concept?,https://medium.com/geo-university-learning-content/how-to-find-satellite-images-with-a-semantic-concept-e2837ba9f71c?source=tag_archive---------0-----------------------,https://medium.com/@dimsyk,Medium,9,"The methodology utilises the specific spatiotemporal, the spectral characteristics of the RSIs and the user’s expertise to formulate the ontology. A reference spectral library is built in order to label extracted endmembers and provide the appropriate metadata labels, based on the ontology’s entries. In addition the statistical characteristics of the indexes are used as metadata in order to formulate more complex user queries. An automatic methodology is developed for attaching these metadata to RSIs. The IGSS has two main milestones: i) domain oriented queries and ii) automatic metadata production for RSIs."
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,1,"At the end of August this year, European Space Agency was happy to announce the successful launch of their Aeolus satellite, creating an unprecedented possibility to measure wind speed around our planet. The story behind tremendous effort put into this mission by ESA and parties involved is as impressive as window of possibilities opened by the new sensor. The path leading to placing this satellite in orbit was paved with obstacles that required to go beyond the state-of-the-art numerous times. This mission is a perfect example of why space industry is at the forefront of the race to improve our everyday life through pushing the boundaries of what’s possible."
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,2,Aeolus — named after Greeks mythology keeper of winds — is fourth launched satellite from ESA’s own Earth Explorers mission. The idea behind EE program was to focus on a number of Earth’s spheres including also Earth’s interior. Previously launched satellites are:
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,3,"On 22nd of August 2018 Aeolus became the fourth Earth Explorer and first in 8 years launched for this programme. Back in 2002 however, Aeolus was meant to be the second."
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,4,"The mission was planned before the beginning of the 21st century, initially as Atmospheric Dynamics Mission, with main goals of better understanding phenomenas such as El Niño and Southern Oscillation. The sensor however was promising much more, allowing to understand in a more complete manner, the behaviour of our atmosphere. Putting it simple, data provided by this satellite can potentially result in better weather forecast prediction, air pollution monitoring, global warming analysis and more."
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,5,The study of mission’s feasibility was completed at the end of 1999 which lead to development and design stage in 2002. From that point the potential launch date was estimated to be October 2007 and on 22nd of October 2003 ESA has signed a contract with EADS Astrium UK to develop Aeolus. The initial estimate turned out to be undershot by almost 11 years…
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,6,"The crucial component of the satellite was naturally it’s sensor — ALADIN(Atmospheric Laser Doppler Instrument). Initial tests for thermal and structure resistance to space conditions began in 2005 and were successful which lead to beginning of development of sensor’s hardware. By the end of 2005, ALADIN’s prototype emitted its first UV light pulses however the launch date was for the first time pushed back a year, to 2008."
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,7,ALADIN’s measurement of wind is based on doppler effect similar to e.g. SAR sensor but using laser-emitted UV light instead of radio waves.
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,8,Unfortunately measuring scattered particles is a bit trickier than solid objects and so was the development of the sensor. One of the basic requirements for the laser in the sensor was initially to emit 100 light pulses per second over operational period of the satellite which is usually couple of years. You can ask Google
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,9,seconds in year times hundred
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,10,"and it will give you an answer of approximately 3.15 * 10⁷ pulses per year. Adding couple more requirements like high pointing stability, ability to survive the launch, remote control and monitoring capabilities made the development even more difficult. Oh, and you remember that it had to do it all in not very welcoming space environment right? Optical components are not big fans of vacuum conditions."
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,11,"As later in 2013 ESA’s ALADIN instrument manager, Denny Wernham would say:"
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,12,"This issue was tackled on multiple fronts: new UV coatings were developed, the energy density of the laser in the UV section was reduced while keeping the total output energy constant by improving the efficiency of the crystals that convert infrared to UV light, and it was decided that the new UV optics would be ‘screened’ to guarantee their performance."
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,13,Manufacturing was certainly a huge challenge but not the only one. Once the sensor was rough and ready it had to be thoroughly tested.
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,14,"To test the concept of the sensor in the real world before going beyond atmosphere, Aeolus team first developed ALADIN Airborne Demonstrator(A2D) that could be attached to an airplane for test flights. A2D was built to collect data in pre-launch campaigns. The data had to be analysed and validated against ground station measurements which would also allow for better sensor calibration. Test campaigns were performed in such extreme locations as Schneefernerhaus observatory situated 2650 meters above sea level and over Greenland and Iceland territories near the Arctic Circle."
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,15,"Moving to 2010, the experiments allowed to improve mathematical model used for interpreting measurements from LIDAR. Initial model, created in early 1970s was updated allowing to describe shape of backscattered light up to accuracy of 98% which translates into improved accuracy of measurement of molecules speed in the atmosphere — the main purpose of ALADIN. The improvement not only allowed to better Aeolus sensor but also improve state-of-the-art for other lidar sensors using this model."
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,16,"After over 5 years of testing, improving and pushing the boundary of what’s possible, the development of the sensor destined for orbit could progress. In April 2013 ESA announced successful test where the sensor was turned on for 3 consecutive weeks emitting some 90 million laser shots which brightened the future of the mission. The launch was expected to happen in 2015. Additional test for ALADIN and the development added couple more to already long journey. On 7th of September 2016 ESA secured the launch with Arianspace and ESA’s Director of Earth Observation Programmes Josef Aschbacher summarised:"
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,17,"Aeolus has certainly had its fair share of problems. However, with the main technical hurdles resolved and the launch contract now in place, we can look forward to it lifting off on a Vega rocket from French Guiana, which we envisage happening by the end of 2017"
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,18,"It actually took a year longer but on 22nd of August, 2018, after so many years of developing the technology that was never developed before…"
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,19,The Earth Explorers mission continues with three new explorers announced last week by ESA. Looking at an amazing history of Aeolus we may doubt the timeliness but we can be sure about successful delivery.
“The Keeper of Winds”,https://medium.com/@waldemar.franczak/the-keeper-of-winds-4eee0b467db5?source=tag_archive---------1-----------------------,https://medium.com/@waldemar.franczak,Medium,20,References: ESA
Boosted by the European Space Agency: from idea to MVP (part 1),https://medium.com/wegaw/boosted-by-the-european-space-agency-from-idea-to-mvp-part-1-c0e3cb000238?source=tag_archive---------0-----------------------,https://medium.com/@danielskun,Medium,1,It all started with a technology/vision roadmap whitepaper for our B2C outdoor activities marketplace called “WeHike” (a platform intended to connect outdoor enthusiasts allowing them to launch and book social trips from other amateurs or professionals who could propose them). The whitepaper’s goal was setting up a vision based on technologies that could make us stand out from the crowd.
Boosted by the European Space Agency: from idea to MVP (part 1),https://medium.com/wegaw/boosted-by-the-european-space-agency-from-idea-to-mvp-part-1-c0e3cb000238?source=tag_archive---------0-----------------------,https://medium.com/@danielskun,Medium,2,"Since I started exploring each Alpine valley back in 2011 after my arrival in Switzerland, I started wondering how, as a Software Engineer, I could bring value to outdoors enthusiasts."
