,title,par_num,paragraph
0,France Space Defence Strategy 2019,11,"with an altitude of 2,000 km or less, mainly used to place observation satellites1 and telecommunications satellites;-  Medium Earth Orbits (MEO), with an altitude between 2,000 and 35,786 km, mainly used to place radio-navigation satellites for systems such as GPS and Galileo;-  Geostationary Orbits (GEO), a specific type of geosynchronous orbits which are of particular interest for many civilian and military uses, such as telecommunications and early warning satellites, because the satellite is stationary in relation to Earth. Retaining the most advantageous slots in these orbits is a major strategic issue.Further distinctions may be drawn:-  Highly Elliptical Orbits (HEO) are terrestrial orbits whose apogee is greater than 35,786 km. Satellites placed in these orbits have long dwell times close to their apogee and pass close to Earth very quickly at their perigee. They are thus of considerable interest for early warning or communications in high latitudes (as a palliative solution for geostationary satellites for latitudes of over 60, for example) if their apogee is situated over the poles;-  Geostationary Transfer Orbits are intermediate orbits from which satellites can be placed in geostationary orbit. Space is a particularly hostile environment in which equipment is subject to extreme temperature variations and ionising radiation. The risk of collision is also a source of concern. Successive launches, accidents and destructions in orbit have generated pieces of debris2 that represent so many risks for our space capabilities. Items measuring between one and ten centimetres 1  These satellites are mostly placed in Sun Synchronous Orbits (SSO) so"
0,France Space Defence Strategy 2019,12,"that they always pass over a given point on the Earths surface at the same local mean solar time. 2  The catalogue to date counts 20,000 pieces of debris larger than 10 centimetres, 350,000 to 750,000 larger than one centimetre and at least 35 million larger than one millimetre. Over 6,000 tons of debris now orbit Earth. will cause very substantial damage on conjunction with a satellite. Items larger than ten centimetres can completely destroy a satellite, creating large amounts of new debris.Although the amount of debris tends to stabilise because of natural deorbiting (12 years for an object at an altitude of 500 km) and greater general awareness of the issue, the foreseeable increase in the number of launches multiplies the risk of conjunction. That in turn generates a need for precise knowledge, which is one of the major challenges of space situational awareness, especially as 50% of the debris currently in orbit will still be there in 20 years time.1.1.2   A liberal legal frameworkThe freedom to explore and use outer space, the province of all mankind, is enshrined in international law on space activities, especially the 1967 Outer Space Treaty3. As Res communis, outer space is free of access and use, unlike airspace, over which the underlying State exercises full and exclusive sovereignty. As there is no definition of space for lack of political consensus, a pragmatic approach qualifies any object that has made at least one full orbit as a space object4. Under these conditions, access to and use of"
0,France Space Defence Strategy 2019,13,"Earth orbits, including the lowest, are free, leaving States all latitude to carry out the space activities of their choice there.The legal rules governing space regulate States practice but also guarantee the freedom of scientific research, meaning that no space application, civilian or military, is prohibited in principle. This regime by nature favours initiative and diversification of both actors and the offer of space services.3  The catalogue to date counts 20,000 pieces of debris larger than 10 centimetres, 350,000 to 750,000 larger than one centimetre and at least 35 million larger than one millimetre. Over 6,000 tons of debris now orbit Earth. 4  The zone at issue is situated between 80 and 120 km above sea level. While organisations like the FAI regard the Karman line (altitude of 100 km) as the frontier between the atmosphere and space, France, like other space powers, considers it inappropriate, given the present state of space activities, to define and delimit space. 16 17SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  2019The free use of space is not absolute, however, since it is curtailed by the requirement to respect the interests of all countries5  and by international law. Thus, the use or occupation of space may not result in the creation of a sovereign right in favour of a State exercising that freedom. On this basis, the International Telecommunication Union ensures equitable and fair access to orbital slots and radio-electric frequencies. Some doubt is being cast on this non-appropriation principle at present, since certain States consider,"
0,France Space Defence Strategy 2019,14,"for example, that it does not apply to minerals or other resources that could be extracted from celestial bodies6. The prospect of the exploitation of space is an issue for the future that should not be overlooked.Although international law states that space must be used for peaceful purposes, that does not mean that all military activity in space is prohibited. The Outer Space Treaty permits the militarisation7 and even weaponisation8 of Earth orbits, provided that weapons of mass destruction are not deployed there, as well as the use of force, strictly within the framework of the United Nations Charter. However, the Moon, celestial bodies and their orbits are entirely demilitarised9.Space activities do not fall within any jurisdiction other than that implied by their attachment to a State or an international organisation. States are free to define the terms of any such attachment, which differ according to nationally prescribed rules.States are responsible under international law for their national space activities, whether undertaken by government agencies or non-governmental organisations. In accordance with this 5  Outer Space Treaty, Article I. 6  The United States, Luxembourg and the United Arab Emirates, for example, have passed domestic legislation authorising the private exploitation of such resources. 7  Militarisation means the placement in orbit of satellites for military purposes, such as intelligence, navigation and telecommunication satellites (cf. joint concept paper 3.3.13-ESPACE no. 27/DEF/CICDE/DR of 4 February 2014. 8  Weaponisation means the placement in orbit of systems capable of attaining objectives on Earth or in orbit, and not merely systems"
0,France Space Defence Strategy 2019,15,"to support military operations (cf. above-mentioned joint concept paper of 4 February 2014). 9  See Article IV of the Outer Space Treaty and Article 3 of the Agreement of 5 December 1979 (signed but not ratified by France) Governing the Activities of States on the Moon and Other Celestial Bodies. principle, States are required to authorise and continuously monitor private space activities10 pursued from their territory or by their nationals, whether individuals or legal entities, acting outside their territory, through measures such as the registration of objects and the authorisation of launches. In order to implement this treaty monitoring obligation, many States have introduced domestic regulatory arrangements with often widely differing content. The regulatory framework in France is established by the Space Operations Act11, which is essentially commercial and civilian in scope.1.1.3   A vector of strategic capabilities essential to our operationsFrance had already identified space as a major factor of power and strategic independence in the 1960s, especially for the development of its nuclear deterrent. Having invested massively in the space sector, it is now one of the few nations capable of developing satellites, placing them in orbit, keeping them on station and exploiting the data collected. France is therefore a genuine space power, both civilian and military.The armed forces have used space to support their operations since the 1990s, making a decisive contribution to their freedom of action on land, at sea and in the air.Control over optical or radar observation, signals intelligence, satellite telecommunications and satellite meteorology, navigation and synchronisation is"
0,France Space Defence Strategy 2019,16,"essential to autonomous situational awareness, decision and action and hence a core concern for the armed forces.Space observation (via the Helios 2, Pliades and, shortly, CSO satellites) meets the need for non-intrusive intelligence gathering and support for operations and military geography. As part of a geospatial intelligence (GEOINT) system which contributes to autonomous situational awareness by pooling and analysing   10  Public space activities are presumed to be carried out with government consent. 11  Act 2008-518 of 3 June 2008 on space operations.18 19SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  2019location-based data from various sources, space observation complements other means of reconnaissance, especially in contested spaces.Space-based electronic signals intelligence (the ELISA demonstrator and forthcoming CERES satellites) has been defence-specific until now and provides information about adversary activity.Satellite telecommunications (Syracuse III and forthcoming Syracuse IV satellites) provide secure communications between forces in the field and mainland France and across theatres of operations, regardless of distance and independent of ground relays. They also meet the need for greater connectivity inherent in modern weapons systems and contribute to our armed forces first-strike capability. Satellite radio-navigation and synchronisation systems are used in most of the armed forces weapons, communications and information systems. Our operations have become very heavily dependent on access to these services, as has everyday life in our societies in general (cf. 1.1.4). Space can also meet other needs for prevention and the protection of our national territory and interests, especially through two capabilities: -  early warning, which contributes to the monitoring"
0,France Space Defence Strategy 2019,17,"of proliferation and ballistic missile activities, ballistic missile defence, aggressor identification, passive defence and space surveillance (cf. 3.3.5);  -  maritime surveillance via automatic detection, a potentially dual-use capability which complements existing non-space means of maritime surveillance, whether civilian or military, maritime, airborne or terrestrial.1.1.4  A key factor for the operation of our economies and societiesSpace is a pervasive feature of all human activities, whether domestic, economic, financial, scientific or whatever. In order to meet these core social, even vital needs, it provides four types of data.Data from observation of the Earth and its atmosphere provide the foundation for weather forecasting and mapping services, the monitoring of natural, climatic and environmental risk, assistance to people in need, border surveillance and defence.Telecommunications data provide access to TV and telephone networks and the internet in parts of the world without the necessary ground infrastructure (blind spots), helping in particular to bridge the digital divide.Location data from constellations of satellites in Global Navigation Satellite Systems (GNSS) such as GPS and Galileo are used extensively to locate land, sea, water and air vehicles of all types and have fostered personalised smartphone apps. GNSS signals also include extremely precise and reliable time information and are consequently used everywhere to synchronise digital networks such as banking systems, telecommunications networks and power grids. GNSS are certainly the most widely used satellite systems. Losing them would cause severe disruption to our societies, going far beyond the purely military sphere. Data from scientific and exploration missions include all the information of fundamental interest"
0,France Space Defence Strategy 2019,18,"that enables us to explore the laws of physics and understand our universe, such as the composition of comets, the environment on Mars, the structure of black holes and the discovery of exoplanets.In the near future, technological advances will pave the way for new high value-added applications engendered by the link between satellite infrastructure and, for example, the Internet of Things, telemedicine, digital learning and autonomous vehicles. The falling 20 21SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  201921cost of access to space will also soon open it up to tourism. At the same time, as we have seen, more and more countries are taking an interest in the exploitation of resources on asteroids or in space more generally. Other applications that we cannot yet foresee will appear in the years to come, driven by sectoral needs.1.2  In a context of fiercer industrial and strategic competition, our freedom of access and action could be compromised1.2.1  New Space is disrupting the existing equilibrium The space industry has long been the preserve of a handful of big countries, their space agencies and publicly funded companies. That situation was linked to the essentially strategic nature of space activities (few commercial uses), the very substantial investment required and long development cycles.New Space, originating in the United States, has profoundly changed that landscape. Using methods, technologies, facilities and financial engineering techniques, especially venture capital, developed by the new economy in areas such as miniaturisation, electronics, 3D printing and artificial intelligence, it has opened up the traditional space sector,"
0,France Space Defence Strategy 2019,19,"significantly cut costs and democratised access to space.New Space actors, whether private investors, universities, start-ups or large companies, have taken an innovative approach which involves accelerated decision-taking, innovation in use, greater willingness to take risks, tolerance of failure as a factor of progress and acceptance of lower systems reliability.The upshot has been the emergence of projects for commercial constellations of dozens or hundreds or even thousands of objects. These in turn open up prospects for observation (higher revisit rate), data transmission (global coverage) and even electromagnetic eavesdropping, hitherto reserved for military applications.The accelerated development of mass information processing and dissemination completes the emergence of these proposed new uses and services. Here, the digital giants are positioning themselves as key players in New Space, whether upstream or downstream of the space value chain.The number of active satellites in orbit (around 2,000 at present) is thus likely to increase substantially over the next few years. Space surveillance and space traffic management are likely to become increasingly important issues. Active debris removal systems are being developed, along with systems capable of making orbital rendezvous in order to repair satellites, refuel them, keep them on station, move or deorbit them. Under cover of civilian objectives, States or private actors can thus openly finance potential anti-satellite technologies.There are also many initiatives to develop launchers, especially small ones. Financed by private institutions or organisations, over 40 models are currently being developed around the world, with upward of 40 more on the drawing-board.The opportunities offered by New Space have given decisive new impetus"
0,France Space Defence Strategy 2019,20,"to the space sector. As with the emergence of the internet, a small number of projects will bear fruit but many investments will be written off.This major shift raises a fundamental question: how will the new actors cohabit with legacy operators who build increasingly sophisticated but expensive satellites which meet institutional needs and are mostly financed by public investment? It will be a crucial question, especially insofar as public investment will continue to be a decisive factor, even for the most innovative New Space projects.1.2.2  Strategic competition is hotting up, operational contexts are evolvingThe 2017 Defence and National Security Strategic Review noted an intensification of competition between powers, increasing the likelihood of state-to-state military confrontation. Countries with long-standing positions in space have also become increasingly dependent on it. As a result they have acquired new vulnerabilities 22 23SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  2019which they seek to alleviate by means of various strategies to secure pre-eminence, strengthening their means of action in space or embarking on a no-holds-barred policy of ramping up their capability.At the same time, the operational environment is becoming harsher and military capabilities are being strengthened, taking maximum advantage of information technologies applied to cyber and space. In the naval and air domains, for example, the improvement of space-based surveillance systems and the development of anti-access/area denial (A2/AD) systems are casting doubt on the first-strike capability and freedom of action of our forces in theatres of operation. Our control of the electromagnetic spectrum (contributing to C4 ISTAR) is now"
0,France Space Defence Strategy 2019,21,"strongly contested by potential adversaries who have invested massively in jamming and decoy capabilities which can degrade our capabilities in all domains (land, air, sea and space). Ballistic and cruise missile proliferation also exposes forces in the field to a growing risk. Space itself is becoming an area of possible confrontation in which alternative adversary strategies could be developed, below or beyond the threshold of armed conflict.Renewed attention should be paid to several parts of the world where tensions run high. Changing strategic dynamics, especially in Asia, are a continuing source of concern, especially as France remains relatively close to these regions, distant from its mainland, through a sovereign presence in its overseas territories in the Pacific and Indian Oceans. Russia is seeking to rebuild a zone of influence on the eastern and northern flanks of Europe, while the Arctic could become a future area of confrontation in a context of international competition for control of its natural resources.In responding to these new challenges, space will continue to be one of the cornerstones of our operational capabilities, whether for the purposes of deterrence, support to operations or active space defence.1.2.3  Emerging new threats could compromise our freedom of access and actionThe major space powers are currently developing new systems capable not only of protecting their space capabilities but also of carrying out aggressive action against those of their adversaries. Even recently, unfriendly activities or demonstrations of power such as ASAT launches, proximity operations and the jamming of location systems have been observed.Rising space powers have"
0,France Space Defence Strategy 2019,22,"also expressed their interest in developing offensive resources of this type. In addition, countries that have already proved their ability to get into space but do not yet have their own satellites could in the future raise the threat of kinetic or non-kinetic actions in space, deterring countries highly dependent on space from harming them.All these threats, ranging from the neutralisation to the destruction of an adversarys assets, rely on more or less mature and accessible technologies which may, over the next ten years, be able equally to target ground, communication or space segments and the software parts associated with them.Cyber threatsCyber-attacks on the software parts of the different segments of space capability are among the most likely threats, though they require precise knowledge of the targets technical parameters. Difficult to attribute, they may have reversible or irreversible effects including, at the most serious end of the scale, loss of control of payloads or even the platform itself, reducing it to junk. Electromagnetic jammingElectromagnetic jamming acts mainly on navigation receivers (GPS, Galileo) or satellite communications receivers. The effects of interference, frequent where satellite communications are 24 25SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  2019concerned, are generally reversible, though attributing the origin of the interference may be very complicated. Jamming targets the means of communication and the software parts of a satellite system in particular.Orbital servicesThe orbital services currently being developed by commercial enterprises and trials of proximity operations such as refuelling and cooperative inspection in the event of failure could be deflected from their"
0,France Space Defence Strategy 2019,23,"purpose and the associated systems could be used as effectors capable of docking with, mooring on, capturing, degrading or displacing a satellite. Conventional threatsSabotage, malicious acts against ground infrastructure and the targeting of energy systems remain likely methods of action, albeit not specific to space. They take advantage of all the structural or human fragilities inherent in the ground-based protection of space systems, whether upstream of launch phases or in connection with the operation of ground stations. Their effects are attenuated by the redundancy of ground stations and the identification of vulnerable components to be protected.Kinetic threatsThe United States, Russia, China and now India have developed ground- or air-launched or co-orbital kinetic anti-satellite missile capabilities. Their use would have irreversible and drastic consequences in certain orbits, especially the unique geostationary orbit, generating a large amount of debris. 2  AN AMBITIOUS SPACE DEFENCE POLICY TO ENSURE OUR STRATEGIC AUTONOMYFaced with the strategic and industrial competition that threatens our freedom of access to and action in space, we must be able both to protect and defend our space interests and to strengthen our strategic autonomy in space by grasping the technological, industrial and cooperation opportunities which arise in that sphere.  2.1  Respond to threats in new operational contexts2.1.1  Consolidate and assert our strategy within the existing international legal framework The assertion of our national space defence strategy forms part of a fresh analysis of the space environment and the threats associated with it, underpinned by recognition that the capabilities of France and its partners"
0,France Space Defence Strategy 2019,24,"in this domain are strategic by nature. Making a decisive contribution to national and international security and providing essential services to the population, space is a focal point for growing tensions. We must adapt our policy to cope with the emergence of new potential dangers and greater threats and risks.2.1.1.1  AmbitionIn this new environment, our space defence strategy has two strands. The first is to protect our satellites by enhancing our ability to monitor the space environment so that we can detect and attribute unfriendly or hostile acts in orbits of interest. In order to do so, France will draw on space situational awareness capabilities12, whether sovereign, developed and operated with other States (European partners, especially Germany), contracted to trusted commercial partners or operated by allies. The second is to be able to defend our space interests in space against unfriendly, wrongful or aggressive acts, in accordance and in compliance with international law. Our interests are not limited to French military satellites but may include French commercial satellites, some allied satellites and EU satellites.12  See 3.4.2. 26 27SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  20192.1.1.2  Principles of actionThree key success factors will help to consolidate this strategy. The first is to reassert and define the scope of the guiding principles that must govern the space activities of States or private actors, to which France is committed. These are, firstly, freedom of access to space, followed by the peaceful and responsible i.e. not deliberately aggressive  use of space13.  The legal"
0,France Space Defence Strategy 2019,25,"framework for our action must also be robust. International law applies to space, notably the United Nations Charter which governs States right to use self-defence against armed aggression. The responses to unfriendly, wrongful or aggressive acts must be defined in accordance with the categorisations determined by international law. The guidelines that France will follow in this matter are as follows:-  France reserves the right to take retaliatory measures against an unfriendly act in space;-  France may take counter-measures in response to a wrongful act perpetrated against it with the sole purpose of bringing that act to an end, in compliance with its obligations under international law, such counter-measures being strictly necessary and proportionate to the objective pursued; -  in the event of armed aggression in space, France may avail itself of its right of self-defence. These principles of action must be backed up by an in-depth strategic and political dialogue with our European and transatlantic partners and closer cooperation with our allies, especially in terms of capabilities. We must also work more closely with our commercial partners in order to make our space capabilities more resilient and guarantee the continuity of the missions they enable us to perform. 13  Taking future orbital services as an example, whether or not they are peaceful will depend not on the systems themselves but on how they are used. 2.1.1.3  International actionFrance will continue to give its full backing, in the relevant multilateral forums14, to the pragmatic and effective regulation of space, with a particular"
0,France Space Defence Strategy 2019,26,"focus on standards of behaviour in order to ensure strategic stability and avoid possibilities for misunderstandings or escalation.Other nations have put forward initiatives to prevent the deployment of weapons in space15. France shares the concerns expressed by several of its partners with regard to the effectiveness of such initiatives, especially the difficulty of defining what constitutes a weapon in space and monitoring the enforcement of rules on non-deployment. It therefore gives preference to pragmatic proposals that can be put into effect immediately. In particular, France could support the promotion of a norm prohibiting actions that create pieces of long-lived debris. A common definition of acts likely to constitute a threat in and from space, rules on States exposure to international responsability and responses permitted by international law will also be necessary.In this context, French actors in both the public and the private sector must continue to act in interstate and non-governmental forums to promote responsible behaviour and best practices and contribute to the development of international standards. 2.1.2  Adapt the domestic legal framework to match our ambition  Until the end of the 20th century, the State controlled all space activities carried out in France or with its help. That grip has gradually been relaxed against a background of growing diversification and privatisation. The need to regulate space activities became urgent in the early 2000s in order to ensure that France would not incur responsability and liability for operations over which the State did not exercise effective control16. 14  COPUOS, First Committee and Disarmament"
