Mission ID,Mission Name Short,Mission Name Full,Mission Agencies,Mission Status,Launch Date,EOL Date,Applications,Instruments,Instrument IDs,Orbit Type,Orbit Altitude,Orbit Period,Orbit Inclination,Repeat Cycle,Orbit LST,Orbit Longitude,Orbit Sense,Mission Site,Data Access Portal
778,CLARREO Pathfinder-on-ISS,International Space Station/Climate Absolute Radiance & Reflectivity Observatory Pathfinder,NASA,Approved,Dec-23,Apr-24,1 year nominal mission. The goal of the Climate Absolute Radiance and Refractivity Observatory (CLARREO) mission is to improve our understanding of climate change by providing high accuracy measurements of the change in key climate variables over decadal timescales. CLARREO Pathfinder is a technical demonstration on the ISS and a major step in reducing the cost and technical risk for these high accuracy measurements.,CLARREO Pathfinder Reflected Solar (hyperspectral,1736,"Inclined, non-sun-synchronous",425 km,90 mins,51 deg,,,,Ascending,https://clarreo-pathfinder.larc.nasa.gov/,
347,CloudSat,CloudSat,"NASA, DoD (USA), CSA",Operational (extended),28-Apr-06,Sep-23,"22-month nominal mission life, currently in extended operations. CloudSat uses advanced radar to ""slice"" through clouds to see their vertical structure, providing a completely new observational capability from space. First use of active 94 GHz radar from space to study clouds on global basis.",CPR (CloudSat),649,Sun-synchronous,686 km,98.3 mins,98.2 deg,,13:45,,Ascending,http://cloudsat.atmos.colostate.edu/,https://search.earthdata.nasa.gov/search?q=CloudSat
987,CO2Image,CO2Image,DLR,Approved,May-26,May-29,"Mission Goal: The mission shall demonstrate the feasibility of verifying carbon dioxide emissions from localized sources such as coal-fired power plants down to medium source strength (>1 MtCO2/yr) worldwide. Application: Independent verification of reported emissions as a cornerstone toward emission accounting and reduction measures such as agreed on in the Paris climate agreement. In 2018, coal-fired power plants accounted for 30% of the global man-made carbon dioxide emissions.",COSIS,1960,Sun-synchronous,500 km,92.2 mins,,,11:00:00,,Ascending,https://www.dlr.de/pa/en/desktopdefault.aspx/tabid-2342/6725_read-66903/,
1030,CO3D,Constellation Optique 3D,CNES,Planned,2023,2031,Will provide global Digital Surface Models of landmasses between +- 70° latitudes with a resolution of 1 m and in 3D.,Optical Instrument (CO3D),2008,Sun-synchronous,502 km,94.78 mins,97.43 deg,,10:45:00,,Descending,https://co3d.cnes.fr/fr,
771,COSMIC-2 FM1,COSMIC-2 FM1,"NOAA, NSPO, UCAR",Operational (nominal),25-Jun-19,Jan-26,This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).,"IVM, RF Beacon, TGRS","1745, 1744, 1725",,520 km,,24 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
926,COSMIC-2 FM2,COSMIC-2 FM2,"NOAA, UCAR",Operational (nominal),25-Jun-19,Jan-26,This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).,"IVM, RF Beacon, TGRS","1745, 1744, 1725",,520 km,,24 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
927,COSMIC-2 FM3,COSMIC-2 FM3,"NOAA, UCAR",Operational (nominal),25-Jun-19,Jan-26,This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).,"IVM, RF Beacon, TGRS","1745, 1744, 1725",,520 km,,24 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
928,COSMIC-2 FM4,COSMIC-2 FM4,"NOAA, UCAR",Operational (nominal),25-Jun-19,Jan-26,This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).,"IVM, RF Beacon, TGRS","1745, 1744, 1725",,520 km,,24 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
929,COSMIC-2 FM5,COSMIC-2 FM5,"NOAA, UCAR",Operational (nominal),25-Jun-19,Jan-26,This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).,"IVM, RF Beacon, TGRS","1745, 1744, 1725",,520 km,,24 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
930,COSMIC-2 FM6,COSMIC-2 FM6,"NOAA, UCAR",Operational (nominal),25-Jun-19,Jan-26,This is a radio occultation mission supporting meteorology and ionosphere & climate measurements. 6-satellite constellation (equatorial).,"IVM, RF Beacon, TGRS","1745, 1744, 1725",,520 km,,24 deg,,,,Ascending,http://www.cosmic.ucar.edu/,
395,COSMO-SkyMed 1,COnstellation of small Satellites for Mediterranean basin Observation - 1,"ASI, MoD (Italy)",Operational (extended),08-Jun-07,Dec-23,"Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.",SAR 2000,704,Sun-synchronous,620 km,97.1 mins,97.8 deg,16,06:00,,Ascending,https://www.asi.it/en/earth-science/cosmo-skymed/,https://portal.cosmo-skymed.it/CDMFE/home
526,COSMO-SkyMed 2,COnstellation of small Satellites for Mediterranean basin Observation - 2,"ASI, MoD (Italy)",Operational (extended),09-Dec-07,Dec-23,"Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.",SAR 2000,704,Sun-synchronous,620 km,97.1 mins,97.8 deg,16,06:00,,Ascending,https://www.asi.it/en/earth-science/cosmo-skymed/,https://portal.cosmo-skymed.it/CDMFE/home
528,COSMO-SkyMed 4,COnstellation of small Satellites for Mediterranean basin Observation - 4,"ASI, MoD (Italy)",Operational (extended),06-Nov-10,Dec-23,"Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.",SAR 2000,704,Sun-synchronous,620 km,97.1 mins,97.8 deg,16,06:00,,Ascending,https://www.asi.it/en/earth-science/cosmo-skymed/,https://portal.cosmo-skymed.it/CDMFE/home
529,CryoSat-2,CryoSat-2 (Earth Explorer Opportunity Mission),ESA,Operational (extended),08-Apr-10,Dec-24,To determine fluctuations in the mass of the Earthâ€™s major land and marine ice fields.,"DORIS-NG, Laser Reflectors (ESA), SIRAL","181, 767, 688","Inclined, non-sun-synchronous",717 km,100 mins,92 deg,369,0.25 degree nodal regression per day,,N/A,http://www.esa.int/cryosat,
849,CSES,China Seismo-Electromagnetic Satellite,"CNSA, ASI",Operational (nominal),02-Feb-18,Dec-23,"Monitoring of electromagnetic field and waves, plasma and particle perturbations of the atmosphere, ionosphere and magnetosphere; and the study of their correlations with the occurrence of seismic events. Study of solar-terrestrial interactions and phenomena of solar physics; study of cosmic ray solar modulation.",HEPD,1788,Sun-synchronous,507 km,94.7 mins,97.4 deg,5,14:00,,Descending,http://cses.roma2.infn.it/,
634,CSG-1,COSMO-SkyMed Second Generation - 1,"ASI, MoD (Italy)",Operational (nominal),18-Dec-19,Dec-26,"Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.",CSG SAR,1519,Sun-synchronous,620 km,97.1 mins,97.8 deg,16,06:00,,Ascending,https://www.asi.it/en/earth-science/cosmo-skymed/,https://portal.cosmo-skymed.it/CDMFE/home
635,CSG-2,COSMO-SkyMed Second Generation - 2,"ASI, MoD (Italy)",Operational (nominal),31-Jan-22,Dec-28,"Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.",CSG SAR,1519,Sun-synchronous,620 km,97.1 mins,97.8 deg,16,06:00,,Ascending,https://www.asi.it/en/earth-science/cosmo-skymed/,https://portal.cosmo-skymed.it/CDMFE/home
966,CSG-3,COSMO-SkyMed Second Generation - 3,"ASI, MoD (Italy)",Approved,Feb-24,Feb-31,"Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.",CSG SAR,1519,Sun-synchronous,620 km,97.1 mins,97.8 deg,16,06:00,,Ascending,https://www.asi.it/en/earth-science/cosmo-skymed/,https://portal.cosmo-skymed.it/CDMFE/home
967,CSG-4,COSMO-SkyMed Second Generation - 4,"ASI, MoD (Italy)",Approved,Feb-25,Feb-32,"Environmental monitoring, surveillance and risk management applications, environmental resources management, maritime management, earth topographic mapping, law enforcement, informative / science applications.",CSG SAR,1519,Sun-synchronous,620 km,97.1 mins,97.8 deg,16,06:00,,Ascending,https://www.asi.it/en/earth-science/cosmo-skymed/,https://portal.cosmo-skymed.it/CDMFE/home
983,CubeMAP,Earth System Processes Monitored in the Atmosphere by a Constellation of CubeSats,"ESA, UKSA",Approved,Jun-25,Jun-28,"ESP-MACCS focusses on understanding and quantifying atmospheric processes in the upper troposphere and in the stratosphere. In particular, it will make observations in tropical and sub-tropical latitudes to observe gases such as water vapour, carbon dioxide, methane, ozone and nitrous oxide as well as aerosols â€“ all of which play a key role in the greenhouse effect and climate change","TIS (ESP-MACCS), VNIR Hyperspectral Solar Disk Imager (ESP-MACCS)","1955, 1956",,,,,,,,,,
740,CYGNSS,Cyclone Global Navigation Satellite System,"NASA, NOAA",Operational (extended),15-Dec-16,Sep-23,"To understand the coupling between ocean surface properties, moist atmospheric thermodynamics, radiation and convective dynamics in the inner core of a Tropical Cyclone (TC)",DDMI (CYGNSS),1669,"Inclined, non-sun-synchronous",520 km,95 mins,35 deg,,,,Ascending,http://aoss-research.engin.umich.edu/missions/cygnss/,https://podaac.jpl.nasa.gov/datasetlist?search=cygnss
776,DESIS-on-ISS,DLR Earth Sensing Imaging Spectrometer for MUSES,DLR,Operational (nominal),29-Jun-18,Dec-23,"DESIS detects changes in the land surface, oceans and atmosphere; it will contribute to the development of effective measures to protect the environment and climate and allows scientists to detect changes in ecosystems and to make statements on the condition of forests and agricultural land. Among other things, its purpose is to secure and improve the global cultivation of food.",DESIS,1734,"Inclined, non-sun-synchronous",407 km,93 mins,51.6 deg,,,,Ascending,,
423,Diademe 1&2,Diademe 1&2,CNES,Operational (nominal),15-Feb-67,Dec-50,Geodetic measurements using satellite laser ranging.,RRA,766,"Inclined, non-sun-synchronous",1200 km,108 mins,40 deg,,,,TBD,http://galileo.crl.go.jp/ilrs/diademe.html,
853,DMC3,Disaster Monitoring Constellation-3,"UKSA, NRSCC, 21AT",Operational (nominal),10-Jul-15,Dec-23,"A constellation of 3 high resolution optical imaging satellites for land use monitoring, urban planning, crop monitoring and pollution monitoring","MSI (BJ-2), PAN (BJ-2)","1748, 1747",Sun-synchronous,649 km,97.7 mins,98 deg,,10:30,,Ascending,http://www.sstl.co.uk,
345,DMSP F-15,Defense Meteorological Satellite Program F-15,"NOAA, USAF",Operational (extended),12-Dec-99,Dec-22,The long-term meteorological programme of the US Department of Defense (DoD) - with the objective to collect and disseminate worldwide cloud cover data on a daily basis. (Primary operational satellite).,"OLS, SSI/ES-2, SSJ/4, SSM, SSM/I, SSM/T-1, SSM/T-2","450, 633, 634, 635, 451, 452, 453",Sun-synchronous,833 km,101 mins,98.9 deg,,20:29,,Ascending,http://dmsp.ngdc.noaa.gov/dmsp.html,
381,DMSP F-16,Defense Meteorological Satellite Program F-16,"NOAA, USAF",Operational (extended),18-Oct-03,Dec-23,The long-term meteorological programme of the US Department of Defense (DoD) - with the objective to collect and disseminate worldwide cloud cover data on a daily basis.,"OLS, SSI/ES-3, SSJ/5, SSM, SSM/IS, SSULI, SSUSI","450, 739, 740, 635, 454, 741, 742",Sun-synchronous,833 km,101 mins,98.9 deg,,21:32,,Ascending,http://dmsp.ngdc.noaa.gov/dmsp.html,
408,DMSP F-17,Defense Meteorological Satellite Program F-17,"NOAA, USAF",Operational (extended),04-Nov-06,Dec-25,The long-term meteorological programme of the US Department of Defense (DoD) - with the objective to collect and disseminate worldwide cloud cover data on a daily basis.,"OLS, SSI/ES-3, SSM, SSM/IS, SSULI, SSUSI","450, 739, 635, 454, 741, 742",Sun-synchronous,850 km,101 mins,98.7 deg,,17:31,,Ascending,http://dmsp.ngdc.noaa.gov/dmsp.html,
409,DMSP F-18,Defense Meteorological Satellite Program F-18,"NOAA, USAF",Operational (extended),18-Oct-09,Dec-25,The long-term meteorological programme of the US Department of Defense (DoD) - with the objective to collect and disseminate worldwide cloud cover data on a daily basis.,"OLS, SSI/ES-3, SSM, SSM/IS, SSULI, SSUSI","450, 739, 635, 454, 741, 742",Sun-synchronous,850 km,101 mins,98.7 deg,,17:31,,Ascending,http://dmsp.ngdc.noaa.gov/dmsp.html,
970,DoT-1,Demonstration of Technology-1,UKSA,Operational (nominal),05-Jul-19,Dec-22,Primary objective is to demonstrate SSTLâ€™s new Core Data Handling System (Core-DHS). Accommodation was made available for some additional experimental payloads including the SGR-ReSI-Z.,SGR-ReSI-Z,1939,Sun-synchronous,520 km,95.2 mins,97.6 deg,,15:00:00,,Ascending,http://www.sstl.co.uk,
350,DSCOVR,Deep Space Climate Observatory,"NOAA, USAF, NASA",Operational (extended),11-Feb-15,Jan-23,Measure a combination of solar phenomena and earth science measurements. Provides 15 min warning for solar storms (CME) events. Provides full disk Earth observations at 10 wavelengths with 2-4 hour cadence. This mission is positioned at the Earth-Sun L-1 point.,"EPIC, ES, FC, NISTAR, PHA, PlasMag","1615, 1648, 1783, 647, 1649, 1650",Earth-Sun L-1,150000 km,259200 mins,,1,,,N/A,http://www.nesdis.noaa.gov/DSCOVR/,https://search.earthdata.nasa.gov/search?q=DSCOVR
913,DubaiSat-2,DubaiSat-2,"MBRSC, UAE SA",Operational (nominal),21-Nov-13,Dec-22,"DubaiSat-2 is a continuation of the Knowledge Transfer Programme that started with the manufacturing of DubaiSat-1. It provides satellite imaging services at a resolution of 1 meter to meet the needs of local and international clients. The mission objectives are: to develop a mini satellite system of less than 300 kg for Earth observation; to provide electro-optical imagery, that can be commercialized, of the UAE and other areas with a spatial resolution of 1m PAN (panchromatic) and 4m MS (multispectral) from a reference orbit of 600 km altitude; to develop and implement new technologies, not used in DubaiSat-1, that can be used in future space programmes; and, to continue training for UAE's space programme.",HiRAIS,1887,Sun-synchronous,600 km,,97.1 deg,8,10:30:00,,Descending,https://mbrsc.ae/en/page/dubai-sat-2,
580,EarthCARE,EarthCARE,"ESA, JAXA",Approved,Sep-23,Sep-26,To Improve the understanding of atmospheric cloudâ€“aerosol interactions and of the Earth's radiative balance towards enhancing climate and numerical weather prediction models. The 2 active and 2 passive instruments of EarthCARE make unique data product synergies possible.,"ATLID, BBR (EarthCARE), CPR (EarthCARE), MSI (EarthCARE)","374, 937, 372, 938",Sun-synchronous,393 km,,97 deg,25,14:00,,Descending,http://www.esa.int/Our_Activities/Observing_the_Earth/The_Living_Planet_Programme/Earth_Explorers/EarthCARE/ESA_s_cloud_aerosol_and_radiation_mission https://www.eorc.jaxa.jp/EARTHCARE/index.html,
765,ECOSTRESS-on-ISS,International Space Station/ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS),"NASA, USGS",Operational (extended),29-Jun-18,Sep-23,"Uses a high-resolution thermal infrared radiometer to measure plant evapotranspiration, the loss of water from growing leaves and evaporation from the soil. These data will reveal how ecosystems change with climate and provide a critical link between the water cycle and effectiveness of plant growth, both natural and agricultural.",ECOSTRESS,1714,"Inclined, non-sun-synchronous",417 km,93 mins,51.6 deg,,,,Ascending,https://ecostress.jpl.nasa.gov/,https://earthdata.nasa.gov/eosdis/daacs/lpdaac
530,Elektro-L N2,Geostationary Operational Meteorological Satellite,"ROSKOSMOS, ROSHYDROMET",Operational (nominal),11-Dec-15,Dec-25,"Hydrometeorology, heliogeophysics, climatology, cloud information.","DCS , GGAK-E, MSU-GS","799, 847, 784",Geostationary,35800 km,,,,,76,N/A,http://planet.iitp.ru; http://eng.ntsomz.ru/ks_dzz/satellites,http://geoportal.ntsomz.ru/
611,Elektro-L N3,Geostationary Operational Meteorological Satellite,"ROSKOSMOS, ROSHYDROMET",Operational (nominal),24-Dec-19,Dec-29,"Hydrometeorology, heliogeophysics, climatology, cloud information.","DCS , GGAK-E, MSU-GS","799, 847, 784",Geostationary,35800 km,,,,,165.8,N/A,http://planet.iitp.ru; http://eng.ntsomz.ru/ks_dzz/satellites,http://geoportal.ntsomz.ru/
873,Elektro-L N4,Geostationary Operational Meteorological Satellite,"ROSKOSMOS, ROSHYDROMET",Approved,Dec-23,Dec-32,"Hydrometeorology, heliogeophysics, climatology, cloud information.","DCS, GGAK-E, MSU-GS","799, 847, 784",Geostationary,35800 km,,,,,,N/A,,
874,Elektro-L N5,Geostationary Operational Meteorological Satellite,"ROSKOSMOS, ROSHYDROMET",Planned,2023,2033,"Hydrometeorology, heliogeophysics, climatology, cloud information.","DCS, GGAK-E, MSU-GS","799, 847, 784",Geostationary,35800 km,,,,,,N/A,,
923,EMIT-on-ISS,International Space Station/Earth Surface Mineral Dust Source Investigation (EMIT),NASA,Commissioning,14-Jul-22,Sep-23,Imaging spectroscopy from the visible to short wavelength infrared (VSWIR) to close the gap in knowledge of the compostion of the Earths' mineral dust source regions. Uses these new measurements with Earth System models to constrain the sign and magnitude of current dust-related radiative forcing at regional and global scales and predict the increase or decrease of available dust sources under future climate scenarios. Deliver these first of their kind comprehensive measurements to the Earth science and applications community.,EMIT,1901,"Inclined, non-sun-synchronous",417 km,93 mins,51.6 deg,,,,Ascending,https://earth.jpl.nasa.gov/emit/,https://earthdata.nasa.gov/eosdis/daacs/lpdaac
600,EnMAP,Environmental Mapping & Analysis Program,DLR,Commissioning,01-Apr-22,Sep-26,"Hyperspectral imaging, land surface, geological and environmental investigation.",HSI,964,Sun-synchronous,650 km,97.5 mins,,21,11:00,,Descending,http://www.enmap.org/,
